Company,Product,TypeName,Inches,ScreenResolution,Name CPU,CPU Speed,Ram,Name Memory,Memory Capacity,Gpu,OpSys,Weight,Price_dollars


Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,2.3GHz,8,SSD,128GB,Intel Iris Plus Graphics 640,macOS,1.37,1429.8511369999999



Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.8GHz,8,SSD,128GB,Intel HD Graphics 6000,macOS,1.34,959.438662



HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,2.5GHz,8,SSD,256GB,Intel HD Graphics 620,No OS,1.86,613.6975



Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,2.7GHz,16,SSD,512GB,AMD Radeon Pro 455,macOS,1.83,2708.2203849999996



Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,3.1GHz,8,SSD,256GB,Intel Iris Plus Graphics 650,macOS,1.37,1924.9822799999997



Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420,3GHz,4,HDD,500GB,AMD Radeon R5,Windows 10,2.1,426.91999999999996



Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,2.2GHz,16,SSD,256GB,Intel Iris Pro Graphics,Mac OS X,2.04,2283.9899809999997



Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,1.8GHz,8,SSD,256GB,Intel HD Graphics 6000,macOS,1.34,1236.68051



Asus,ZenBook UX430UN,Ultrabook,14,1920x1080,Intel Core i7 8550U,1.8GHz,16,SSD,512GB,Nvidia GeForce MX150,Windows 10,1.3,1595.6135



Acer,Swift 3,Ultrabook,14,1920x1080,Intel Core i5 8250U,1.6GHz,8,SSD,256GB,Intel UHD Graphics 620,Windows 10,1.6,821.8209999999999



HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,2.5GHz,4,HDD,500GB,Intel HD Graphics 620,No OS,1.86,420.40946999999994



HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,HDD,500GB,Intel HD Graphics 520,No OS,1.86,368.207827



Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,2.8GHz,16,SSD,256GB,AMD Radeon Pro 555,macOS,1.83,2604.1799809999998



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i3 6006U,2GHz,4,SSD,256GB,AMD Radeon R5 M430,Windows 10,2.2,532.47597



Apple,"MacBook 12""",Ultrabook,12,2304x1440,Intel Core M m3,1.2GHz,8,SSD,256GB,Intel HD Graphics 615,macOS,0.92,1347.35952



Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,2.3GHz,8,SSD,256GB,Intel Iris Plus Graphics 640,macOS,1.37,1620.7484149999998



Dell,Inspiron 3567,Notebook,15.6,1920x1080,Intel Core i7 7500U,2.7GHz,8,SSD,256GB,AMD Radeon R5 M430,Windows 10,2.2,795.1384999999999



